,Pathway,Direction,max(LR) scale factor,max(L)max(R) scale factor
162,ANGPT,sending,0.7351353836577637,0.7351353836577637
17,CSF,receiving,0.7559628225441376,0.7559628225441376
71,PDGF,receiving,0.7685958012675418,0.7685958012675418
350,CD34,sending,0.7703117926663647,0.7703117926663647
245,IL7,receiving,0.7856920552286102,0.7856920552286102
351,CD34,receiving,0.7988229968311452,0.7988229968311452
137,PARs,receiving,0.8173381620642826,0.8173381620642826
349,SELL,receiving,0.82045043005885,0.82045043005885
328,MHC-I,sending,0.8627419081032142,0.8627419081032142
363,CD52,receiving,0.8726728723404255,0.8726728723404255
63,KIT,receiving,0.8829787234042553,0.8829787234042553
136,PARs,sending,0.8842847442281575,0.8842847442281575
39,MK,receiving,0.981425418741512,0.981425418741512
132,MIF,sending,0.9954787234042553,0.9954787234042553
