,HSC,MPP,CMP,CLP,GMP,MEP
sending NEGR,0.43469895880488907,0.43209597102761427,0.43209597102761427,0.43209597102761427,0.43209597102761427,0.43209597102761427
receiving NEGR,0.43469895880488907,0.43209597102761427,0.43209597102761427,0.43209597102761427,0.43209597102761427,0.43209597102761427
sending CDH,0.6578202806699864,0.4058326731552739,0.3952226686283386,0.42705268220914444,0.39257016749660484,0.3952226686283386
receiving CDH,0.6578202806699864,0.4058326731552739,0.3952226686283386,0.42705268220914444,0.39257016749660484,0.3952226686283386
sending PTN,0.5851063829787234,0.40425531914893614,0.3882978723404255,0.30319148936170215,0.2925531914893617,0.39095744680851063
receiving PTN,0.9683397464916251,0.9683397464916251,0.9840425531914894,0.981425418741512,0.9709568809416025,0.9840425531914894
sending BAFF,0.6296118153010412,0.5211492756903576,0.24337935717519238,0.41004130828429153,0.41797759167043913,0.2354430737890448
receiving BAFF,0.7585728836577637,0.772620529651426,0.7632554323223179,0.7913507243096424,0.7890094499773653,0.6836521050248981
sending VWF,0.8829787234042553,0.5851063829787234,0.6462765957446809,0.4654255319148936,0.4175531914893617,0.675531914893617
receiving VWF,0.4621788705296514,0.22725922363060208,0.582192168401992,0.165975837483024,0.24002659574468085,0.7098658895427796
sending WNT,0.15608023992756903,0.15343481213218652,0.16666195110909915,0.29893334087822543,0.1719528066998642,0.12168967858759619
receiving WNT,0.2939112720688094,0.2492997397012223,0.34114701222272525,0.23355449298325032,0.2178092462652784,0.3647648822996831
sending SLURP,0.7313829787234043,0.7313829787234043,0.7313829787234043,0.7313829787234043,0.7313829787234043,0.7313829787234043
receiving SLURP,0.4228723404255319,0.21808510638297873,0.27393617021276595,0.2872340425531915,0.17287234042553193,0.22340425531914893
sending ENHO,0.31224535989135355,0.21403915799004075,0.2518107741059303,0.26440131281122675,0.1838218650973291,0.20648483476686283
receiving ENHO,0.32091727025803535,0.30610570393843367,0.3258544590312359,0.23451646672702584,0.2962313263920326,0.345603214124038
sending TRAIL,0.48279764599366237,0.3419816659121775,0.4291534631054776,0.4403293345405161,0.28833748302399276,0.32186509732910823
receiving TRAIL,0.19479968311453147,0.16042326844726118,0.19250792213671342,0.17646559529198733,0.16729855138071523,0.17875735626980532
sending CD96,0.662149162516976,0.6030726573110003,0.7089180624717066,0.659687641466727,0.5563037573562698,0.657226120416478
receiving CD96,0.13638807152557716,0.12758884110457222,0.13638807152557716,0.17378480081484837,0.1319884563150747,0.10119114984155726
sending GRN,0.300970461747397,0.3166732684472612,0.2564791760977818,0.2564791760977818,0.3533131507469443,0.10991964689904934
receiving GRN,0.45092519239474876,0.49601771163422365,0.4084851742870077,0.3740026595744681,0.461535196921684,0.32095263693979176
sending SELE,0.5466274332277048,0.5466274332277048,0.557039384336804,0.5466274332277048,0.5518334087822544,0.5466274332277048
receiving SELE,0.38563829787234044,0.43617021276595747,0.44680851063829785,0.3670212765957447,0.44148936170212766,0.3803191489361702
sending CD200,0.18481213218650974,0.0885015844273427,0.13275237664101402,0.14837030330466275,0.07548664554096876,0.11453146220009054
receiving CD200,0.6100752602987777,0.5596777387958353,0.5464152331371661,0.5411102308736985,0.5570252376641014,0.5066277161611589
sending PERIOSTIN,0.23944658216387507,0.2473404255319149,0.2473404255319149,0.22892145767315528,0.23944658216387507,0.2131337709370756
receiving PERIOSTIN,0.26550475328202805,0.04685377999094613,0.0702806699864192,0.052059755545495696,0.04685377999094613,0.05466274332277048
sending CHAD,0.5558510638297872,0.44680851063829785,0.43617021276595747,0.42819148936170215,0.4095744680851064,0.48138297872340424
receiving CHAD,0.12234042553191489,0.1276595744680851,0.1276595744680851,0.09840425531914894,0.13829787234042554,0.13297872340425532
sending AMH,0.6035182775011317,0.621194545043006,0.6035182775011317,0.608568639655953,0.6136190018107742,0.6035182775011317
receiving AMH,0.13266042326844726,0.08683227704843821,0.08442026935264825,0.07959625396106836,0.07959625396106836,0.07477223856948845
sending PTH,0.5013227138976912,0.5013227138976912,0.5013227138976912,0.5013227138976912,0.5013227138976912,0.5013227138976912
receiving PTH,0.34126018560434584,0.31216047985513806,0.3756507469443187,0.3280330466274332,0.362423607967406,0.34126018560434584
sending SELPLG,0.5292553191489362,0.5691489361702128,0.5930851063829787,0.5877659574468085,0.5691489361702128,0.5292553191489362
receiving SELPLG,0.6107543005885017,0.6994963784517881,0.7490875396106836,0.76474790629244,0.7151567451335445,0.5533329560887279
sending MIF,0.9787234042553191,0.9973404255319149,0.9946808510638298,0.9893617021276596,0.9973404255319149,0.9867021276595744
receiving MIF,0.7101063829787234,0.43617021276595747,0.44680851063829785,0.699468085106383,0.44148936170212766,0.3803191489361702
sending NRG,0.823421231326392,0.7780952919873245,0.5816828881846989,0.7252150294250792,0.7932039384336803,0.33742643730194655
receiving NRG,0.2633403123585332,0.046471819827976456,0.0697077297419647,0.05163535536441829,0.046471819827976456,0.0542171231326392
sending HGF,0.5966217745586239,0.5462030330466274,0.5819163082842915,0.49368351063829785,0.5399006903576279,0.542001471253961
receiving HGF,0.4267556020823902,0.540388750565867,0.3232231779085559,0.378777161611589,0.5378635694884564,0.19191376188320508
sending JAM,0.43617021276595747,0.19148936170212766,0.24468085106382978,0.1595744680851064,0.08244680851063829,0.2526595744680851
receiving JAM,0.12201505205975555,0.1273200543232232,0.1273200543232232,0.09814254187415121,0.13793005885015847,0.13262505658669083
sending DESMOSOME,0.2063787347215935,0.16586266410140335,0.15320139203259392,0.15066913761883205,0.15320139203259392,0.15953202806699865
receiving DESMOSOME,0.2501909800814848,0.20107373245812585,0.18572459257582616,0.18265476459936622,0.18572459257582616,0.18572459257582616
sending IL7,0.5040600950656405,0.32922844047080124,0.32695789950203713,0.3178757356269805,0.28154708012675417,0.2906292440018108
receiving IL7,0.19840708465368945,0.16930737890448166,0.3544873245812585,0.7856920552286102,0.19047080126754187,0.21163422363060208
sending BMP,0.4973404255319149,0.26189735174287004,0.2909970574920779,0.2830607741059303,0.26189735174287004,0.26189735174287004
receiving BMP,0.2872340425531915,0.24202127659574468,0.24468085106382978,0.18085106382978725,0.18085106382978725,0.21808510638297873
sending PROK,0.47135298777727475,0.47135298777727475,0.47135298777727475,0.47135298777727475,0.47135298777727475,0.47135298777727475
receiving PROK,0.5757412856496152,0.5807916478044364,0.6615974422815754,0.5378635694884564,0.5454391127206881,0.6918996152105025
sending NPNT,0.3696808510638298,0.31117021276595747,0.30851063829787234,0.31117021276595747,0.30851063829787234,0.30851063829787234
receiving NPNT,0.11615832956088729,0.12120869171570846,0.12120869171570846,0.09343169986419195,0.13130941602535084,0.12625905387052966
sending NODAL,0.92384846084201,0.9081456541421458,0.9002942507922137,0.8610372340425532,0.9133799230421005,0.9709568809416025
receiving NODAL,0.21692507922136714,0.17988909008601178,0.25131564056134,0.17988909008601178,0.17988909008601178,0.15608023992756903
sending ESAM,0.8184203825260299,0.513771785875962,0.601551889995473,0.44406405613399724,0.29690329334540516,0.6815866908103214
receiving ESAM,0.8184203825260299,0.513771785875962,0.601551889995473,0.44406405613399724,0.29690329334540516,0.6815866908103214
sending RANKL,0.636600271616116,0.5251952240832956,0.5251952240832956,0.8010553417836126,0.4880602082390222,0.4880602082390222
receiving RANKL,0.3647648822996831,0.32540176550475325,0.3175291421457673,0.42512166138524216,0.2939112720688094,0.25979657084653685
sending ANGPTL,0.625,0.7101063829787234,0.7207446808510638,0.625,0.7313829787234043,0.7712765957446809
receiving ANGPTL,0.12234042553191489,0.1276595744680851,0.1276595744680851,0.13829787234042554,0.13829787234042554,0.13297872340425532
sending CLDN,0.39095744680851063,0.39095744680851063,0.39095744680851063,0.39095744680851063,0.39095744680851063,0.39095744680851063
receiving CLDN,0.39095744680851063,0.39095744680851063,0.39095744680851063,0.39095744680851063,0.39095744680851063,0.39095744680851063
sending EGF,0.29294929832503397,0.1866370529651426,0.2362494341330919,0.19136204164780443,0.16537460389316433,0.1960870303304663
receiving EGF,0.21198789044816657,0.21460502489814395,0.21198789044816657,0.21722215934812134,0.21198789044816657,0.21198789044816657
