Pathway 1,send PARs,receive PARs,send CXCL,receive MIF,receive APP,send MHC-I,send MHC-II,receive CCL,receive IGF,receive SEMA7,send FGF,send GALECTIN,send MIF,send ANGPT,receive TENASCIN,receive ESAM,send ESAM,receive CD34,send TGFb,send PSAP,receive CD52,receive IFN-II,receive CSF,send VISTA,receive NOTCH,send BST2,send ANNEXIN,send LCK,receive ANGPTL,receive VISFATIN,receive JAM,receive CD39,receive CXCL,send EPHA,receive BAFF,send GRN,send VEGF,receive MK,receive PTN,receive SPP1,receive FN1,receive SELE,receive COLLAGEN,receive LAMININ,receive GALECTIN,send ANGPTL,send VISFATIN,send OSM,send LIGHT,receive CD22,send CD45,send LAIR1,send LAMININ,receive GRN,receive KIT,receive ITGAL-ITGB2,send ICAM,receive THBS,receive ICAM,send SEMA4,send SELPLG,receive PECAM1,send PECAM1,receive SEMA4,send IL16,send CCL,receive SELPLG,send SELL,send CD52,receive SELL,send CD34
receive CD52,0.0,0.0,0.0,0.0,0.2244682904887496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1605721934191813,0.0,0.0,0.0,0.0,0.1489966620652288,0.14490182432903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2316433267564158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive IFN-II,0.2135274027118358,0.0,0.0,0.0,0.0,0.0,0.0,0.1770763039349711,0.0,0.0,0.0,0.0,0.0,-0.1458329472006451,0.0,0.0,0.0,0.0,0.0,0.0,0.1605721934191813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1791010715213024,0.1861412636389554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1517812441682837,0.0,0.0,0.0,0.0,0.0
receive CSF,0.2173943939038121,0.0,0.0,0.0,0.0,0.0,0.0,0.189698682323768,0.0,0.0,0.0,0.0,0.0,-0.1452027551765347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1628021882788953,0.0,0.1513841811147546,0.1733902705540616,0.0,0.0
send VISTA,0.1795009356867135,0.0,0.0,0.0,0.0,0.0,0.0,0.1787644708366138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1496153214608542,0.1496153214608542,0.0,0.0,0.1848565051611885,0.0,0.0,0.0,0.0,0.0
receive NOTCH,0.0,-0.1588225149595547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1506976403283442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1931109267895038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1728464796636038,0.1802715288527636
send BST2,0.1967625661438594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1557974776459625,0.0,0.0,0.0,0.0,0.0,0.1806542514263053,0.1831176583411522
send ANNEXIN,0.0,0.0,0.0,0.0,0.1438113158185665,0.1776873202783296,0.1847627129042727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1489966620652288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send LCK,0.0,0.0,0.0,0.1848425705775852,0.1818631951125229,0.0,0.1433938809154018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14490182432903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2140201629922171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive ANGPTL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1504098834139866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1799956482857118,0.1799956482857118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive VISFATIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1588457402351711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1837403765019377,0.1837403765019377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
