Pathway 1,send PARs,send MHC-I,send MIF,send CD52,receive CCL,send PSAP,send MHC-II,send CCL,receive APP,receive JAM,receive CSF,send SELPLG,receive SELPLG,send SELL,receive PARs,receive MK,receive PTN,send BST2,receive CEACAM,send GRN,receive CXCL,receive SEMA4,send TGFb,receive GALECTIN,send CXCL,receive CD34,receive KIT,receive IFN-II,send ANGPTL,receive THBS,send VISFATIN,receive PECAM1,send PECAM1,receive CLEC,receive ICAM,send IL2,receive ITGAL-ITGB2,send ICAM,receive CD52,send LAIR1,receive ANGPTL,receive SEMA7,receive IGF,send LAMININ,send ANNEXIN,send COMPLEMENT,send APP,send SEMA4,send VISTA,receive SELL,send CD34,send ANGPT,send GALECTIN
receive CXCL,0.0,0.0,0.0,0.1609862190991558,0.0,0.0,0.0,0.0,0.0,0.0,0.2231231581743027,0.16295443507578,0.156333482169538,0.1714988340125927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive SEMA4,0.0,0.157110496598029,0.0,0.0,0.0,0.0,0.1555285586478437,0.0,0.1604965756581407,0.1667916073979355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1709117739116504,0.1675635742948958,0.0,0.0
send TGFb,0.0,0.1815222635974476,0.0,0.0,0.0,0.0,0.1691773870661408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1523191896543203,0.0,0.0,0.0
receive GALECTIN,-0.1785900739720671,0.0,-0.1545599851235049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1535465733978872,0.0
send CXCL,-0.1618689627978794,0.1502611679509815,0.0,0.0,0.0,0.0,0.0,-0.1619789305164389,0.0,0.0,0.0,0.0,0.0,0.0,0.2048696265165298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1528111763715744,0.0
receive CD34,0.0,0.1596887401399359,0.0,0.0,0.0,0.0,0.0,0.0,0.1509959341809502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1801441634591204,0.0
receive KIT,0.0,0.1590802099259121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1558941587801894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1518581905123082,0.0
receive IFN-II,0.2095641756564618,0.0,0.1884405960276613,0.0,0.0,0.1831160483495977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send ANGPTL,0.0,0.0,0.1870544970491924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1691343017990184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive THBS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1898187418348042,0.1858061141372692,0.0,0.0
