Pathway 1,receive PTN,receive AGT,send MIF,receive SELL,send CD34,send LIGHT,receive CD39,send GRN,send FGF,send PSAP,send MHC-I,send ANGPT,send IL16,receive BAFF,send MHC-II,send CD52,send ANNEXIN,receive CD22,send CD45,receive PARs,send SELPLG,send TGFb,receive CD34,receive SELPLG,receive ITGAL-ITGB2,receive PDGF,send SELL,receive CD200,send ICAM,receive GALECTIN,receive SEMA4,receive TENASCIN,receive VWF,receive ESAM,send ESAM,receive JAM,receive VTN,send JAM,receive LAMININ,send APP
receive PDGF,-2.4260508220177086,-0.0,-2.0018805318523505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0507506723362785,0.0,2.133278425405385,2.133768932869873,2.1981008183314463,0.0,2.36539028893832,2.058499748008378,2.0526702915808053,0.0,2.459653603883573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send SELL,-0.0,-0.0,-0.0,2.7416876494081395,2.739883185466056,2.156964231093176,1.9817161112933144,2.161730772542949,0.0,2.149626994598224,0.0,0.0,2.254877848143825,2.305759482327093,2.18043712872329,2.593652614761549,2.245423846860436,2.041649759845287,2.0370855474101286,0.0,2.0321395442950885,0.0,2.11366967686285,0.0,0.0,0.0,0.0,2.127157001814288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive CD200,-0.0,-0.0,-0.0,2.560511457401814,2.5653182524473794,0.0,0.0,0.0,2.069277652139478,2.038895803342516,0.0,1.986968001358746,2.177551090032544,2.4017151784967954,2.163875205199774,2.340908871462304,2.3484733613527635,2.003040320506225,2.013130331128116,0.0,0.0,0.0,0.0,2.196132844832211,0.0,0.0,2.127157001814288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send ICAM,-0.0,-0.0,-0.0,2.3084955690925035,2.3296995247497687,0.0,0.0,0.0,0.0,0.0,1.9743186961813333,1.9691387760167527,2.2507764519380715,2.279796672992013,2.319084333525224,2.124042594152697,2.1258967158575524,2.0488737981044545,2.054586459270632,0.0,2.2026965628146846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive GALECTIN,-2.1336462488763184,-0.0,-0.0,2.465940699771818,2.4654022587368782,0.0,2.018775875556959,2.1105584210534336,2.001924675895583,2.085237193729274,2.23612313284231,2.268146674862024,2.387697177138892,2.493900673218635,2.417409221695226,2.0410427015589776,2.328227067691364,0.0,0.0,0.0,0.0,0.0,0.0,2.059376281014609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive SEMA4,-0.0,-0.0,-0.0,2.1719376214961663,2.248803152293044,2.125161898361408,0.0,2.059400201492596,0.0,2.0441304959604745,0.0,2.14286905940331,2.0758853735988487,2.216803444327888,2.3370966749096374,2.1054642561950003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.082486044930388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
receive TENASCIN,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.014511324171204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9689490977185988,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.145599417379827,2.13510140326153,0.0,0.0,2.016427687109384,0.0,0.0
receive VWF,0.0,-0.0,-0.0,0.0,0.0,1.9870839233827724,0.0,2.08638608039372,0.0,0.0,0.0,2.423780967842226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2593732615160134,0.0,2.006994182200535,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2438453740376536,2.273994972831269,0.0,0.0,2.012262142471145,0.0,1.9680820207625835
receive ESAM,-0.0,-0.0,-0.0,2.336286084915708,2.345126878155966,2.3350100174620563,2.537588070389009,2.3020912445917814,2.136041268979826,2.332828551750609,2.222278252610983,2.518898962935903,2.120764323360348,2.499947008310933,2.1363425108333787,0.0,0.0,0.0,0.0,1.9992766515417424,0.0,0.0,2.388413044266132,2.3024484014044364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.145599417379827,2.2438453740376536,0.0,0.0,2.306699024641845,2.0878145770811125,2.523300249548777,0.0,0.0
send ESAM,-0.0,-0.0,-0.0,2.3483612881251426,2.3415624547821645,2.3238342642005856,2.521820046737407,2.290972857709648,2.150773148522409,2.321716537548318,2.203706870623912,2.545406467699384,2.1504255782960264,2.4785542955911355,2.16873980604454,0.0,0.0,0.0,0.0,1.999116576847244,0.0,0.0,2.3769907856411834,2.276138505583549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.13510140326153,2.273994972831269,0.0,0.0,2.3216102028153425,2.0561960275339746,2.520120339008861,0.0,0.0
receive JAM,0.0,-0.0,-0.0,2.399412325419548,2.4042533762148453,2.054396381745621,2.1119693253245355,2.402482129739294,2.182969158407788,2.248557649044076,2.5204233939305305,2.542768652494745,2.362537600842682,2.418146025070984,2.4753634142127936,2.025980671876483,0.0,2.107591079281269,2.08149766499103,2.132102123862215,0.0,0.0,2.0706304489643363,2.22753173457791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.306699024641845,2.3216102028153425,0.0,0.0,0.0,0.0,0.0
receive VTN,0.0,-0.0,-0.0,2.0970056105146604,2.084994092779277,2.124675576812924,2.0603525306186192,2.376304997585922,2.066040899231326,1.97695307483326,1.9872101872968728,2.4064294303358573,0.0,2.128353259874694,0.0,0.0,0.0,0.0,0.0,2.133386223419531,0.0,0.0,2.071796038562352,2.044597905705209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0878145770811125,2.0561960275339746,0.0,0.0,2.241426852827753,0.0,2.0175731783058204
send JAM,-0.0,-0.0,-0.0,2.096858941587969,2.082073684361569,0.0,2.07683509727432,2.1449679769782986,0.0,2.101903335802202,2.1622494588988173,2.3732718287819963,0.0,2.1551558466989507,2.080892024392428,0.0,0.0,0.0,0.0,1.9772447586303945,0.0,0.0,2.083314744595993,2.126022195923964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.016427687109384,2.012262142471145,2.523300249548777,2.520120339008861,0.0,2.241426852827753,0.0,0.0,0.0
receive LAMININ,0.0,-0.0,-0.0,2.0111124775943447,2.0286069667838698,0.0,1.980305681352148,2.0585318106122186,0.0,0.0,1.965587717090996,2.4284508940945178,0.0,2.1646998800745805,2.0302471303580374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0249642395388894,1.9632677924757465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
send APP,-0.0,-0.0,-0.0,2.025935646914278,2.011975013885157,2.0769991827786503,1.983919669101927,2.072289561098294,0.0,0.0,0.0,2.152631013816692,0.0,2.1261187853677024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.252346692533392,2.223316350506882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9680820207625835,0.0,0.0,0.0,2.0175731783058204,0.0,0.0,0.0
